Start Training...
Epoch 1/3: Iteration 0, loss = 56.650169
Epoch 1/3: Iteration 100, loss = 0.532773
Epoch 1/3: Iteration 200, loss = 1.647848
Epoch 1/3: Iteration 300, loss = 2.109363
Epoch 1/3: Iteration 400, loss = 0.570624
Epoch 1/3: Iteration 500, loss = 0.361593
Epoch 1/3: Iteration 600, loss = 0.237624
Epoch 1/3: Iteration 700, loss = 0.097414
Epoch 1/3: Iteration 800, loss = 1.174557
Epoch 1/3: Iteration 900, loss = 2.449539
Epoch 1/3: Iteration 1000, loss = 0.241998
Epoch 1/3: Iteration 1100, loss = 1.781646
Epoch 1/3: Iteration 1200, loss = 0.072333
Epoch 1/3: Iteration 1300, loss = 7.083375
Epoch 1/3: Iteration 1400, loss = 0.450796
Epoch 1/3: Iteration 1500, loss = 0.439214
Epoch 1/3: Iteration 1600, loss = 0.311403
Epoch 1/3: Iteration 1700, loss = 45.443802
Epoch 1/3: Iteration 1800, loss = 0.053568
Epoch 1/3: Iteration 1900, loss = 0.313027
Epoch 1/3: Iteration 2000, loss = 0.137193
Epoch 1/3: Iteration 2100, loss = 0.101319
Epoch 1/3: Iteration 2200, loss = 0.348812
Epoch 1/3: Iteration 2300, loss = 3.794173
Epoch 1/3: Iteration 2400, loss = 0.316851
Epoch 1/3: Iteration 2500, loss = 0.077461
Epoch 1/3: Iteration 2600, loss = 0.051718
Epoch 1/3: Iteration 2700, loss = 0.386597
Epoch 1/3: Iteration 2800, loss = 0.135146
Epoch 1/3: Iteration 2900, loss = 0.138643
Epoch 1/3: Iteration 3000, loss = 0.188637
Epoch 1/3: Iteration 3100, loss = 0.305493
Epoch 1/3: Iteration 3200, loss = 0.589650
Epoch 1/3: Iteration 3300, loss = 0.407004
Epoch 1/3: Iteration 3400, loss = 0.091789
Epoch 1/3: Iteration 3500, loss = 0.342618
Epoch 1/3: Iteration 3600, loss = 0.051443
Epoch 1/3: Iteration 3700, loss = 0.318812
Epoch 1/3: Iteration 3800, loss = 0.754049
Save model ./model_ckpt/model_epoch1.pth
Epoch 2/3: Iteration 0, loss = 0.328182
Epoch 2/3: Iteration 100, loss = 0.334409
Epoch 2/3: Iteration 200, loss = 3.197503
Epoch 2/3: Iteration 300, loss = 0.114904
Epoch 2/3: Iteration 400, loss = 1.249997
Epoch 2/3: Iteration 500, loss = 3.756854
Epoch 2/3: Iteration 600, loss = 0.400112
Epoch 2/3: Iteration 700, loss = 0.196830
Epoch 2/3: Iteration 800, loss = 2.577969
Epoch 2/3: Iteration 900, loss = 0.081143
Epoch 2/3: Iteration 1000, loss = 0.502395
Epoch 2/3: Iteration 1100, loss = 11.757454
Epoch 2/3: Iteration 1200, loss = 0.740936
Epoch 2/3: Iteration 1300, loss = 2.497454
Epoch 2/3: Iteration 1400, loss = 0.409244
Epoch 2/3: Iteration 1500, loss = 0.095640
Epoch 2/3: Iteration 1600, loss = 1.314076
Epoch 2/3: Iteration 1700, loss = 3.294529
Epoch 2/3: Iteration 1800, loss = 0.073016
Epoch 2/3: Iteration 1900, loss = 0.051034
Epoch 2/3: Iteration 2000, loss = 0.064764
Epoch 2/3: Iteration 2100, loss = 1.558695
Epoch 2/3: Iteration 2200, loss = 0.144077
Epoch 2/3: Iteration 2300, loss = 0.078989
Epoch 2/3: Iteration 2400, loss = 0.106961
Epoch 2/3: Iteration 2500, loss = 5.695552
Epoch 2/3: Iteration 2600, loss = 0.071208
Epoch 2/3: Iteration 2700, loss = 0.183137
Epoch 2/3: Iteration 2800, loss = 0.156929
Epoch 2/3: Iteration 2900, loss = 0.362930
Epoch 2/3: Iteration 3000, loss = 1.681848
Epoch 2/3: Iteration 3100, loss = 0.057363
Epoch 2/3: Iteration 3200, loss = 0.057236
Epoch 2/3: Iteration 3300, loss = 0.041651
Epoch 2/3: Iteration 3400, loss = 0.131585
Epoch 2/3: Iteration 3500, loss = 0.139769
Epoch 2/3: Iteration 3600, loss = 0.465377
Epoch 2/3: Iteration 3700, loss = 0.137556
Epoch 2/3: Iteration 3800, loss = 0.018599
Save model ./model_ckpt/model_epoch2.pth
Epoch 3/3: Iteration 0, loss = 0.179018
Epoch 3/3: Iteration 100, loss = 0.169497
Epoch 3/3: Iteration 200, loss = 0.070329
Epoch 3/3: Iteration 300, loss = 1.850574
Epoch 3/3: Iteration 400, loss = 0.009636
Epoch 3/3: Iteration 500, loss = 37.930202
Epoch 3/3: Iteration 600, loss = 1.683560
Epoch 3/3: Iteration 700, loss = 0.261695
Epoch 3/3: Iteration 800, loss = 0.354644
Epoch 3/3: Iteration 900, loss = 0.059762
Epoch 3/3: Iteration 1000, loss = 0.042486
Epoch 3/3: Iteration 1100, loss = 3.068123
Epoch 3/3: Iteration 1200, loss = 0.015446
Epoch 3/3: Iteration 1300, loss = 0.791853
Epoch 3/3: Iteration 1400, loss = 0.176380
Epoch 3/3: Iteration 1500, loss = 0.060985
Epoch 3/3: Iteration 1600, loss = 0.085326
Epoch 3/3: Iteration 1700, loss = 0.296614
Epoch 3/3: Iteration 1800, loss = 0.051374
Epoch 3/3: Iteration 1900, loss = 0.167950
Epoch 3/3: Iteration 2000, loss = 0.148867
Epoch 3/3: Iteration 2100, loss = 2.797972
Epoch 3/3: Iteration 2200, loss = 0.123886
Epoch 3/3: Iteration 2300, loss = 0.005521
Epoch 3/3: Iteration 2400, loss = 0.713050
Epoch 3/3: Iteration 2500, loss = 0.258807
Epoch 3/3: Iteration 2600, loss = 0.754210
Epoch 3/3: Iteration 2700, loss = 9.622473
Epoch 3/3: Iteration 2800, loss = 0.257358
Epoch 3/3: Iteration 2900, loss = 0.043746
Epoch 3/3: Iteration 3000, loss = 1.215701
Epoch 3/3: Iteration 3100, loss = 0.583020
Epoch 3/3: Iteration 3200, loss = 0.412237
Epoch 3/3: Iteration 3300, loss = 0.295810
Epoch 3/3: Iteration 3400, loss = 0.042913
Epoch 3/3: Iteration 3500, loss = 0.115379
Epoch 3/3: Iteration 3600, loss = 3.548355
Epoch 3/3: Iteration 3700, loss = 0.022799
Epoch 3/3: Iteration 3800, loss = 0.185772
Save model ./model_ckpt/model_epoch3.pth
Save final model ./model_ckpt/model_final.pth
Finish Training
