Start Training...
Epoch 1/3: Iteration 0, loss = 49.860970
Epoch 1/3: Iteration 100, loss = 2.082625
Epoch 1/3: Iteration 200, loss = 0.643913
Epoch 1/3: Iteration 300, loss = 4.997356
Epoch 1/3: Iteration 400, loss = 2.131112
Epoch 1/3: Iteration 500, loss = 1.253816
Epoch 1/3: Iteration 600, loss = 2.102227
Epoch 1/3: Iteration 700, loss = 0.633953
Epoch 1/3: Iteration 800, loss = 4.320897
Epoch 1/3: Iteration 900, loss = 1.865775
Epoch 1/3: Iteration 1000, loss = 0.253335
Epoch 1/3: Iteration 1100, loss = 1.338341
Epoch 1/3: Iteration 1200, loss = 1.475321
Epoch 1/3: Iteration 1300, loss = 2.578005
Epoch 1/3: Iteration 1400, loss = 1.436913
Epoch 1/3: Iteration 1500, loss = 0.625365
Epoch 1/3: Iteration 1600, loss = 0.081420
Epoch 1/3: Iteration 1700, loss = 0.131001
Epoch 1/3: Iteration 1800, loss = 1.545030
Epoch 1/3: Iteration 1900, loss = 0.672377
Epoch 1/3: Iteration 2000, loss = 0.335467
Epoch 1/3: Iteration 2100, loss = 0.183714
Epoch 1/3: Iteration 2200, loss = 1.816894
Epoch 1/3: Iteration 2300, loss = 1.241435
Epoch 1/3: Iteration 2400, loss = 0.403043
Epoch 1/3: Iteration 2500, loss = 0.350395
Epoch 1/3: Iteration 2600, loss = 0.151939
Epoch 1/3: Iteration 2700, loss = 0.512311
Epoch 1/3: Iteration 2800, loss = 0.279196
Epoch 1/3: Iteration 2900, loss = 0.131985
Epoch 1/3: Iteration 3000, loss = 0.914435
Epoch 1/3: Iteration 3100, loss = 1.845075
Epoch 1/3: Iteration 3200, loss = 0.346512
Epoch 1/3: Iteration 3300, loss = 0.899276
Epoch 1/3: Iteration 3400, loss = 1.310775
Epoch 1/3: Iteration 3500, loss = 0.036869
Epoch 1/3: Iteration 3600, loss = 0.509358
Epoch 1/3: Iteration 3700, loss = 2.341976
Epoch 1/3: Iteration 3800, loss = 0.103394
Save model ./model_ckpt/model_epoch1.pth
Epoch 2/3: Iteration 0, loss = 0.742869
Epoch 2/3: Iteration 100, loss = 0.307003
Epoch 2/3: Iteration 200, loss = 0.861878
Epoch 2/3: Iteration 300, loss = 0.060629
Epoch 2/3: Iteration 400, loss = 0.150153
Epoch 2/3: Iteration 500, loss = 0.154775
Epoch 2/3: Iteration 600, loss = 1.483546
Epoch 2/3: Iteration 700, loss = 2.444069
Epoch 2/3: Iteration 800, loss = 0.043500
Epoch 2/3: Iteration 900, loss = 0.677325
Epoch 2/3: Iteration 1000, loss = 0.117898
Epoch 2/3: Iteration 1100, loss = 0.308767
Epoch 2/3: Iteration 1200, loss = 0.225957
Epoch 2/3: Iteration 1300, loss = 0.535950
Epoch 2/3: Iteration 1400, loss = 0.834363
Epoch 2/3: Iteration 1500, loss = 0.209367
Epoch 2/3: Iteration 1600, loss = 1.878821
Epoch 2/3: Iteration 1700, loss = 0.020968
Epoch 2/3: Iteration 1800, loss = 0.089359
Epoch 2/3: Iteration 1900, loss = 0.503781
Epoch 2/3: Iteration 2000, loss = 0.390408
Epoch 2/3: Iteration 2100, loss = 0.996678
Epoch 2/3: Iteration 2200, loss = 1.153446
Epoch 2/3: Iteration 2300, loss = 0.081747
Epoch 2/3: Iteration 2400, loss = 0.299821
Epoch 2/3: Iteration 2500, loss = 0.526022
Epoch 2/3: Iteration 2600, loss = 0.096808
Epoch 2/3: Iteration 2700, loss = 3.684613
Epoch 2/3: Iteration 2800, loss = 0.138530
Epoch 2/3: Iteration 2900, loss = 0.321903
Epoch 2/3: Iteration 3000, loss = 5.922776
Epoch 2/3: Iteration 3100, loss = 0.032038
Epoch 2/3: Iteration 3200, loss = 0.204628
Epoch 2/3: Iteration 3300, loss = 0.038007
Epoch 2/3: Iteration 3400, loss = 0.790580
Epoch 2/3: Iteration 3500, loss = 0.755911
Epoch 2/3: Iteration 3600, loss = 0.170410
Epoch 2/3: Iteration 3700, loss = 0.041998
Epoch 2/3: Iteration 3800, loss = 0.104837
Save model ./model_ckpt/model_epoch2.pth
Epoch 3/3: Iteration 0, loss = 0.040578
Epoch 3/3: Iteration 100, loss = 0.074062
Epoch 3/3: Iteration 200, loss = 0.076661
Epoch 3/3: Iteration 300, loss = 0.387599
Epoch 3/3: Iteration 400, loss = 0.045338
Epoch 3/3: Iteration 500, loss = 0.442033
Epoch 3/3: Iteration 600, loss = 0.617929
Epoch 3/3: Iteration 700, loss = 0.305837
Epoch 3/3: Iteration 800, loss = 0.015057
Epoch 3/3: Iteration 900, loss = 23.967134
Epoch 3/3: Iteration 1000, loss = 0.557772
Epoch 3/3: Iteration 1100, loss = 0.428078
Epoch 3/3: Iteration 1200, loss = 0.023252
Epoch 3/3: Iteration 1300, loss = 0.227669
Epoch 3/3: Iteration 1400, loss = 0.058115
Epoch 3/3: Iteration 1500, loss = 2.024739
Epoch 3/3: Iteration 1600, loss = 0.038299
Epoch 3/3: Iteration 1700, loss = 1.651458
Epoch 3/3: Iteration 1800, loss = 0.185038
Epoch 3/3: Iteration 1900, loss = 0.078736
Epoch 3/3: Iteration 2000, loss = 0.783498
Epoch 3/3: Iteration 2100, loss = 0.122776
Epoch 3/3: Iteration 2200, loss = 0.036014
Epoch 3/3: Iteration 2300, loss = 0.489893
Epoch 3/3: Iteration 2400, loss = 0.080275
Epoch 3/3: Iteration 2500, loss = 0.054071
Epoch 3/3: Iteration 2600, loss = 0.033449
Epoch 3/3: Iteration 2700, loss = 0.285563
Epoch 3/3: Iteration 2800, loss = 0.022823
Epoch 3/3: Iteration 2900, loss = 2.485316
Epoch 3/3: Iteration 3000, loss = 0.217129
Epoch 3/3: Iteration 3100, loss = 0.037101
Epoch 3/3: Iteration 3200, loss = 0.021837
Epoch 3/3: Iteration 3300, loss = 0.188451
Epoch 3/3: Iteration 3400, loss = 0.014723
